数据集标识,风场名称,数据粒度,数据数量,所属数据集,Onshore/Offshore,位置（纬度，经度）,基座海拔,气候类型,气候特点,风机型号,参数性质,机组总数,风场额定功率_MW,额定功率计算式_MW,容量计算精度,参考机型数,叶轮直径_m,叶轮直径_规格数,叶轮直径_各规格机组数,叶片长_m,叶片长_规格数,叶片长_各规格机组数,轮毂高_m,轮毂高_规格数,轮毂高_各规格机组数
NREL_WTK_site119090_Maine-Waldo_class3_16MW_2007-2013,Maine-Waldo_class3,15 min,205041,NREL WTK,Onshore,"44.597694, -68.895844",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site12172_Alabama-Chambers_class3_16MW_2007-2013,Alabama-Chambers_class3,15 min,211413,NREL WTK,Onshore,"32.763924, -85.206696",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site121764_Washington-Klickitat_class2_16MW_2007-2013,Washington-Klickitat_class2,15 min,41479,NREL WTK,Onshore,"45.916245, -120.324524",N/A (site elevation unavailable); hub height 100 m agl,Warm-summer Mediterranean continental climate,"Warm, dry summers (20-26 degC) and cold, snowy winters (-8 to 0 degC). Precipitation 400-700 mm/year with pronounced dry summer. Mountain-valley wind circulations and downslope winds dominate local wind patterns. Wind resource highly terrain-dependent; ridge-top sites have excellent resource while valley-floor sites are sheltered. Chinook winds produce sudden high-wind events.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site122002_Maine-Piscataquis_class3_12MW_2007-2013,Maine-Piscataquis_class3,15 min,186268,NREL WTK,Onshore,"45.427158, -69.3797",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,6,12.0,6×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 6台
NREL_WTK_site126058_Montana-Glacier_class2_2MW_2007-2013,Montana-Glacier_class2,15 min,240621,NREL WTK,Onshore,"48.775547, -113.483887",N/A (site elevation unavailable); hub height 100 m agl,Subarctic climate,"Cool summers (15-20 degC), extremely cold winters (-20 to -8 degC). Precipitation 400-700 mm/year, mostly as snow. Long winter season with persistent high wind speeds driven by polar and Arctic air masses. Short summer with moderate winds. Significant icing risk Nov-Apr. Orographic acceleration over mountain terrain critical for viable wind resource. Wind resource excellent at exposed ridge-top sites.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,1,2.0,1×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 1台
NREL_WTK_site126185_Montana-Glacier_class1_14MW_2007-2013,Montana-Glacier_class1,15 min,180232,NREL WTK,Onshore,"48.902653, -113.526794",N/A (site elevation unavailable); hub height 100 m agl,Subarctic climate,"Cool summers (15-20 degC), extremely cold winters (-20 to -8 degC). Precipitation 400-700 mm/year, mostly as snow. Long winter season with persistent high wind speeds driven by polar and Arctic air masses. Short summer with moderate winds. Significant icing risk Nov-Apr. Orographic acceleration over mountain terrain critical for viable wind resource. Wind resource excellent at exposed ridge-top sites.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,7,14.0,7×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 7台
NREL_WTK_site1415_Florida-MiamiDade_class3_16MW_2007-2013,Florida-MiamiDade_class3,15 min,138883,NREL WTK,Onshore,"25.825256, -80.163086",N/A (site elevation unavailable); hub height 100 m agl,Tropical monsoon climate,"Hot year-round with strong wet season. Short dry season. Monsoonal wind reversals dominate seasonal wind patterns. Wind resource moderate and strongly seasonal, peaking during monsoon onset and withdrawal.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site14725_SouthCarolina-Bamberg_class3_16MW_2007-2013,SouthCarolina-Bamberg_class3,15 min,134045,NREL WTK,Onshore,"33.344376, -81.177887",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site15559_California-Imperial_class1_2MW_2007-2013,California-Imperial_class1,15 min,245472,NREL WTK,Onshore,"32.646118, -116.085098",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,1,2.0,1×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 1台
NREL_WTK_site16069_Oklahoma-Comanche_class1_2MW_2007-2013,Oklahoma-Comanche_class1,15 min,237071,NREL WTK,Onshore,"34.815277, -98.800049",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,1,2.0,1×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 1台
NREL_WTK_site17501_Georgia-Pickens_class3_16MW_2007-2013,Georgia-Pickens_class3,15 min,177110,NREL WTK,Onshore,"34.416519, -84.531128",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site19095_Oklahoma-Grady_class2_16MW_2007-2013,Oklahoma-Grady_class2,15 min,182913,NREL WTK,Onshore,"35.296169, -97.854004",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site20092_Arizona-Apache_class3_16MW_2007-2013,Arizona-Apache_class3,15 min,140640,NREL WTK,Onshore,"34.49744, -109.685791",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site22664_Arkansas-Washington_class3_16MW_2007-2013,Arkansas-Washington_class3,15 min,122837,NREL WTK,Onshore,"35.884243, -94.17453",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site24924_Atlantic-Offshore_16MW_2007-2013,Atlantic-Offshore,15 min,245472,NREL WTK,Offshore,"34.309864, -76.5849",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Siemens SWT-3.6-107; GE 4.1-113; REpower 6M,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,107; 113; 126,3,参考机型，未分配机组数,52; ≈55; 61.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site26558_Oklahoma-Ellis_class2_16MW_2007-2013,Oklahoma-Ellis_class2,15 min,145195,NREL WTK,Onshore,"36.488377, -99.858093",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
